faithfulness,answer_relevancy,context_precision,context_recall
1.0,0.9933983474030423,0.9999999999,0.0
1.0,0.9217831397294255,0.0,0.0
0.0,0.843007451371319,0.0,0.0
0.0,0.8048253288154511,0.0,0.0
0.0,0.8385270143260307,0.0,0.0
1.0,0.8801378626251912,0.0,0.0
0.0,0.0,0.0,0.0
1.0,0.8558267921794004,0.0,0.0
1.0,0.8761517638436934,0.9999999999,0.0
0.5,0.8661444031032838,0.0,0.0
0.0,0.8715873635528225,0.9999999999,0.0
1.0,0.886573916612527,0.0,0.0
1.0,0.8641960059329293,0.9999999999,0.5
1.0,0.8096290035667467,0.0,0.0
0.5,0.8537918640541354,0.0,0.0
0.0,0.874787839486547,0.0,0.0
1.0,0.0,0.0,0.0
0.0,0.8842402424516634,0.0,0.0
1.0,0.8988977894740278,0.9999999999,0.5
0.6666666666666666,0.9000368754447902,0.0,0.0
0.0,0.8595192956535823,0.9999999999,0.0
1.0,0.8600140029033444,0.0,0.0
1.0,0.8255344858501642,0.9999999999,0.5
1.0,0.8360756029915825,0.0,0.0
0.0,0.8383757756398708,0.0,0.0
1.0,0.848521186847388,0.0,0.0
1.0,0.0,0.0,0.0
0.5,0.8289548897838985,0.0,0.0
1.0,0.8447468605054889,0.9999999999,0.5
0.6666666666666666,0.0,0.9999999999,0.6666666666666666
0.3333333333333333,0.8823906012107217,0.9999999999,0.0
0.0,0.917389394924426,0.0,0.0
1.0,0.8439754014619042,0.0,0.0
1.0,0.8758468312027077,0.0,0.0
0.0,0.8381079821625247,0.0,0.0
1.0,0.8837432417091114,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.89461058417856,0.0,0.0
1.0,0.8499239295375641,0.9999999999,0.5
0.0,0.8521826597982757,0.0,0.0
1.0,0.9816036533715105,0.9999999999,0.0
1.0,0.8850311214339288,0.0,0.0
1.0,0.8548653236958712,0.9999999999,0.5
1.0,0.9251057642766586,0.9999999999,0.5
0.0,0.8529157696511942,0.0,0.0
1.0,0.937394519418303,0.0,0.0
0.0,0.0,0.9999999999,0.5
1.0,0.8631868102234398,0.0,0.0
1.0,0.8925912527779296,0.9999999999,0.5
0.3333333333333333,0.0,0.0,0.0
