faithfulness,answer_relevancy,context_precision,context_recall
0.3333333333333333,0.8779167268967661,0.99999999995,1.0
1.0,0.8219841246438855,0.9999999999666667,1.0
1.0,0.8050062383685813,0.9999999999666667,0.6666666666666666
1.0,0.8680151002679811,0.9999999999666667,1.0
1.0,0.7718815752202247,0.5833333333041666,1.0
1.0,0.9115254846038998,0.9999999999666667,1.0
1.0,0.8669660184234612,0.99999999995,0.6666666666666666
0.75,0.7786088289303316,0.9999999999,1.0
,0.7368859608865771,0.9999999999,1.0
0.6666666666666666,0.861302716818007,0.99999999995,1.0
0.75,0.8060990030244145,0.9999999999666667,1.0
0.75,0.8465863718658458,0.9999999999666667,1.0
1.0,0.8972154045462584,0.99999999995,0.5
1.0,0.8876079825144649,0.9999999999666667,1.0
1.0,0.7900690039582196,0.9999999999666667,1.0
1.0,0.8572827622441311,0.9999999999666667,1.0
1.0,0.9046934982831969,0.9999999999666667,1.0
0.6666666666666666,0.8769168327112368,0.9999999999,1.0
0.6666666666666666,0.8283203310355237,0.9999999999,0.5
0.8571428571428571,0.7351705213820902,0.9999999999666667,1.0
0.6,0.8392115517377552,0.9999999999666667,1.0
0.4,0.8596942567821655,0.9999999999666667,1.0
1.0,0.7896043527696749,0.99999999995,1.0
1.0,0.837931571485702,0.9999999999666667,1.0
1.0,0.0,0.9999999999666667,1.0
1.0,0.7715378080590415,0.99999999995,1.0
0.6666666666666666,0.8032408684975475,0.9999999999,1.0
0.6,0.8294557379746856,0.8333333332916666,1.0
0.6,0.8480779083134231,0.9999999999666667,0.6666666666666666
0.8,0.8640734093538738,0.9999999999666667,1.0
0.6666666666666666,0.0,0.9999999999666667,1.0
0.875,0.9391979501881235,0.9999999999666667,1.0
1.0,0.7923640056541424,0.99999999995,1.0
0.8,0.8474787398164064,0.9999999999666667,0.6666666666666666
1.0,0.8109028920423101,0.9999999999666667,1.0
1.0,0.0,0.99999999995,1.0
1.0,0.8306944172414013,0.9999999999666667,1.0
0.0,0.8180179293017334,0.9999999999,1.0
0.8333333333333334,0.8268898703229896,0.9999999999666667,1.0
